Date,Product_Name,Category,Units_Sold,Inventory_Level,Price,Promotion,Supplier,Lead_Time,Revenue
2023-05-18,Mouse,Electronics,35,250,1682.3,Yes,Nova Supply,8,58880.5
2023-04-30,Coffee,Groceries,48,82,1613.7,No,Global Traders,11,77457.6
2023-09-23,Camera,Electronics,45,242,1131.86,Yes,Smart Wholesale,13,50933.7
2023-10-09,Keyboard,Electronics,52,213,1591.32,Yes,ABC Suppliers,10,82748.64
2023-10-26,Shampoo,Personal Care,46,303,904.07,Yes,Global Traders,15,41587.22
2023-08-19,Juice,Groceries,33,272,1032.41,No,Prime Distribution,8,34069.53
2023-05-26,Shampoo,Personal Care,46,484,1451.57,No,ABC Suppliers,15,66772.22
2024-09-05,Coffee,Groceries,35,73,1648.22,No,Prime Distribution,4,57687.7
2024-02-28,Juice,Groceries,37,377,1223.3,Yes,Nova Supply,14,45262.1
2023-09-22,Bread,Groceries,49,175,1025.96,Yes,Nova Supply,4,50272.04
2023-06-26,Perfume,Personal Care,38,247,1091.47,Yes,Prime Distribution,2,41475.86
2023-02-02,Coffee,Groceries,49,267,1737.35,Yes,Smart Wholesale,10,85130.15
2023-08-29,Juice,Groceries,39,189,1339.36,Yes,Smart Wholesale,2,52235.04
2023-01-02,Hair Oil,Personal Care,38,138,1498.62,No,Prime Distribution,9,56947.56
2024-01-02,Camera,Electronics,38,434,1575.33,Yes,Prime Distribution,3,59862.54
2023-02-14,Shampoo,Personal Care,42,414,1924.37,Yes,Global Traders,14,80823.54
2024-01-03,Phone,Electronics,32,412,1583.45,No,ABC Suppliers,7,50670.4
2023-05-30,Butter,Groceries,49,453,1354.48,Yes,Nova Supply,15,66369.52
2024-03-17,Shampoo,Personal Care,51,142,1665.55,Yes,Nova Supply,12,84943.05
2024-08-19,Eggs,Groceries,45,207,1772.46,Yes,Global Traders,4,79760.7
2023-06-13,Tea,Groceries,47,217,131.99,Yes,Global Traders,15,6203.53
2024-07-31,Speaker,Electronics,44,383,1701.46,Yes,Nova Supply,12,74864.24
2023-07-03,Phone,Electronics,55,378,1710.2,Yes,Global Traders,6,94061.0
2024-07-22,Toothpaste,Personal Care,35,263,792.34,Yes,Prime Distribution,5,27731.9
2023-11-07,Coffee,Groceries,64,462,254.23,Yes,Prime Distribution,5,16270.72
2024-06-06,Coffee,Groceries,37,393,417.61,No,Global Traders,5,15451.57
2024-01-02,Phone,Electronics,35,264,1961.25,Yes,ABC Suppliers,8,68643.75
2024-03-27,Keyboard,Electronics,41,278,439.03,No,ABC Suppliers,5,18000.23
2024-04-01,Cheese,Groceries,23,466,923.24,Yes,ABC Suppliers,12,21234.52
2023-08-01,Phone,Electronics,41,146,1146.19,Yes,Smart Wholesale,11,46993.79
2024-05-02,Shampoo,Personal Care,52,278,628.31,No,ABC Suppliers,6,32672.12
2023-10-02,Speaker,Electronics,49,117,41.08,No,ABC Suppliers,13,2012.92
2024-02-29,Phone,Electronics,26,458,894.17,Yes,Smart Wholesale,11,23248.42
2023-10-16,Laptop,Electronics,33,163,22.72,No,ABC Suppliers,14,749.76
2023-03-23,Phone,Electronics,44,485,785.81,Yes,ABC Suppliers,8,34575.64
2024-08-29,Face Wash,Personal Care,36,138,1962.11,No,Smart Wholesale,5,70635.96
2023-06-08,Cheese,Groceries,44,184,112.04,No,Smart Wholesale,12,4929.76
2024-07-09,Juice,Groceries,49,251,486.91,No,Global Traders,9,23858.59
2024-07-12,Coffee,Groceries,43,254,1195.52,Yes,Prime Distribution,14,51407.36
2023-12-26,Lotion,Personal Care,66,207,598.82,Yes,Nova Supply,15,39522.12
2023-10-06,Bread,Groceries,49,447,611.69,No,Prime Distribution,7,29972.81
2024-02-08,Monitor,Electronics,35,92,1919.59,No,ABC Suppliers,2,67185.65
2023-07-13,Cheese,Groceries,48,343,161.09,No,ABC Suppliers,4,7732.32
2023-07-07,Shampoo,Personal Care,31,316,1574.46,No,Global Traders,3,48808.26
2024-06-04,Butter,Groceries,54,202,219.26,No,Prime Distribution,10,11840.04
2024-04-13,Rice,Groceries,49,205,1098.04,Yes,Global Traders,2,53803.96
2023-03-01,Mouse,Electronics,31,353,1028.16,No,Nova Supply,10,31872.96
2024-07-20,Toothpaste,Personal Care,57,287,1929.28,No,Smart Wholesale,11,109968.96
2023-10-10,Speaker,Electronics,48,329,1135.85,Yes,Prime Distribution,2,54520.8
2024-02-16,Coffee,Groceries,26,281,547.02,No,Global Traders,3,14222.52
2023-09-04,Monitor,Electronics,36,246,559.93,No,Global Traders,13,20157.48
2024-02-26,Deodorant,Personal Care,37,446,1265.68,Yes,Smart Wholesale,12,46830.16
2023-04-13,Lotion,Personal Care,36,60,802.04,Yes,Global Traders,11,28873.44
2024-12-12,Headphones,Electronics,67,151,1481.13,Yes,Smart Wholesale,12,99235.71
2023-10-25,Sanitizer,Personal Care,33,146,1982.01,No,Prime Distribution,2,65406.33
2023-10-22,Sugar,Groceries,48,207,667.76,No,Smart Wholesale,8,32052.48
2024-05-07,Butter,Groceries,41,144,599.44,Yes,ABC Suppliers,9,24577.04
2024-04-15,Conditioner,Personal Care,39,407,785.1,Yes,Global Traders,14,30618.9
2023-10-21,Juice,Groceries,23,324,1014.24,No,Prime Distribution,6,23327.52
2024-04-20,Lotion,Personal Care,43,457,1125.88,No,Nova Supply,13,48412.84
2023-05-03,Keyboard,Electronics,33,223,737.57,No,Nova Supply,13,24339.81
2024-10-08,Face Wash,Personal Care,44,393,346.62,No,Global Traders,10,15251.28
2023-08-09,Sugar,Groceries,46,124,812.5,Yes,Prime Distribution,4,37375.0
2024-05-19,Cheese,Groceries,39,46,1886.88,Yes,Global Traders,6,73588.32
2023-12-04,Lotion,Personal Care,71,183,691.36,No,Smart Wholesale,11,49086.56
2023-03-23,Soap,Personal Care,34,320,1519.46,No,ABC Suppliers,11,51661.64
2024-04-22,Conditioner,Personal Care,53,499,1092.09,Yes,Nova Supply,8,57880.77
2023-01-03,Sugar,Groceries,44,102,745.55,Yes,Smart Wholesale,15,32804.2
2023-06-28,Laptop,Electronics,40,353,1008.62,No,Nova Supply,10,40344.8
2023-10-15,Monitor,Electronics,53,140,1706.91,No,Global Traders,4,90466.23
2024-01-10,Sanitizer,Personal Care,35,356,1043.39,No,Global Traders,5,36518.65
2024-10-04,Toothpaste,Personal Care,37,53,1430.06,Yes,Nova Supply,13,52912.22
2023-02-02,Tea,Groceries,38,79,670.9,No,Nova Supply,6,25494.2
2023-01-27,Laptop,Electronics,52,449,1637.53,Yes,Smart Wholesale,10,85151.56
2024-05-28,Soap,Personal Care,42,267,930.57,No,Prime Distribution,11,39083.94
2023-06-10,Tablet,Electronics,61,160,1647.62,Yes,Smart Wholesale,7,100504.82
2024-05-17,Butter,Groceries,32,344,408.12,No,Prime Distribution,10,13059.84
2023-07-09,Conditioner,Personal Care,45,249,1003.83,No,Prime Distribution,2,45172.35
2024-05-07,Sanitizer,Personal Care,46,130,804.5,No,Prime Distribution,9,37007.0
2024-03-20,Deodorant,Personal Care,36,391,1960.16,No,ABC Suppliers,11,70565.76
2024-10-13,Laptop,Electronics,34,377,1915.79,Yes,Smart Wholesale,13,65136.86
2024-06-28,Printer,Electronics,56,167,840.18,Yes,ABC Suppliers,3,47050.08
2023-05-03,Monitor,Electronics,46,87,768.76,No,Nova Supply,5,35362.96
2024-03-08,Soap,Personal Care,40,275,1668.88,Yes,Smart Wholesale,11,66755.2
2023-09-18,Face Wash,Personal Care,42,215,496.85,No,Nova Supply,2,20867.7
2024-04-05,Rice,Groceries,35,469,1809.58,Yes,ABC Suppliers,14,63335.3
2023-09-30,Monitor,Electronics,62,326,424.32,No,Nova Supply,12,26307.84
2023-05-16,Deodorant,Personal Care,39,105,1029.78,No,Smart Wholesale,11,40161.42
2023-05-19,Hair Oil,Personal Care,47,490,886.75,Yes,ABC Suppliers,8,41677.25
2024-12-15,Mouse,Electronics,54,428,1360.6,No,Nova Supply,5,73472.4
2024-10-28,Headphones,Electronics,51,487,244.61,Yes,Smart Wholesale,7,12475.11
2023-07-06,Perfume,Personal Care,46,228,961.97,Yes,ABC Suppliers,8,44250.62
2023-05-17,Tea,Groceries,51,465,214.19,No,Smart Wholesale,6,10923.69
2024-05-10,Shampoo,Personal Care,31,164,908.08,Yes,Nova Supply,4,28150.48
2024-07-11,Sanitizer,Personal Care,65,426,1028.76,Yes,ABC Suppliers,2,66869.4
2024-07-11,Monitor,Electronics,53,234,710.19,No,Prime Distribution,7,37640.07
2023-08-11,Mouse,Electronics,28,242,445.02,Yes,Nova Supply,3,12460.56
2023-04-08,Headphones,Electronics,38,375,1176.9,No,ABC Suppliers,14,44722.2
2024-05-09,Laptop,Electronics,45,295,734.49,Yes,Smart Wholesale,13,33052.05
2023-05-23,Tea,Groceries,31,481,1883.35,No,Nova Supply,12,58383.85
2024-02-21,Hair Oil,Personal Care,45,431,821.47,No,Prime Distribution,7,36966.15
2023-11-27,Phone,Electronics,63,382,984.93,No,Global Traders,8,62050.59
2023-04-21,Butter,Groceries,19,174,1632.18,Yes,ABC Suppliers,11,31011.42
2024-01-17,Shampoo,Personal Care,54,250,443.97,No,Smart Wholesale,5,23974.38
2023-06-18,Phone,Electronics,69,58,1398.32,Yes,Prime Distribution,9,96484.08
2024-01-27,Face Wash,Personal Care,21,416,470.99,Yes,ABC Suppliers,11,9890.79
2024-01-12,Laptop,Electronics,41,321,1483.99,No,Nova Supply,13,60843.59
2023-07-01,Conditioner,Personal Care,49,356,651.46,Yes,Smart Wholesale,15,31921.54
2024-05-20,Shampoo,Personal Care,54,268,1879.68,No,Prime Distribution,5,101502.72
2023-08-26,Deodorant,Personal Care,31,289,452.19,No,Global Traders,15,14017.89
2023-12-11,Toothpaste,Personal Care,51,274,335.15,Yes,Smart Wholesale,2,17092.65
2023-04-16,Rice,Groceries,52,470,216.51,Yes,ABC Suppliers,5,11258.52
2024-03-21,Shampoo,Personal Care,53,246,1024.72,Yes,Global Traders,15,54310.16
2023-06-30,Headphones,Electronics,47,61,676.29,No,ABC Suppliers,7,31785.63
2024-03-06,Rice,Groceries,39,380,1491.91,No,Smart Wholesale,8,58184.49
2023-05-09,Conditioner,Personal Care,12,120,112.32,Yes,Nova Supply,9,1347.84
2024-01-23,Bread,Groceries,34,252,552.92,Yes,Nova Supply,6,18799.28
2024-12-20,Milk,Groceries,69,94,1189.58,Yes,ABC Suppliers,5,82081.02
2023-11-18,Printer,Electronics,53,473,1522.0,Yes,Nova Supply,8,80666.0
2023-08-25,Lotion,Personal Care,51,266,513.82,Yes,Prime Distribution,6,26204.82
2023-05-25,Camera,Electronics,25,351,1637.3,No,Global Traders,4,40932.5
2024-12-15,Lotion,Personal Care,66,122,298.57,Yes,ABC Suppliers,14,19705.62
2023-07-07,Conditioner,Personal Care,64,430,847.45,No,Global Traders,2,54236.8
2024-07-09,Hair Oil,Personal Care,65,205,1663.73,No,Smart Wholesale,15,108142.45
2023-02-22,Toothpaste,Personal Care,38,485,1965.18,No,Smart Wholesale,6,74676.84
2023-03-13,Headphones,Electronics,26,206,1045.58,Yes,ABC Suppliers,12,27185.08
2024-10-23,Coffee,Groceries,14,174,344.05,Yes,Nova Supply,5,4816.7
2024-04-29,Mouse,Electronics,36,493,1717.74,Yes,Smart Wholesale,10,61838.64
2024-01-16,Deodorant,Personal Care,47,381,703.76,Yes,Prime Distribution,2,33076.72
2024-10-22,Coffee,Groceries,26,308,1802.32,No,Prime Distribution,8,46860.32
2023-03-29,Tablet,Electronics,38,198,713.23,Yes,Global Traders,14,27102.74
2024-03-07,Printer,Electronics,32,377,1141.22,Yes,Smart Wholesale,6,36519.04
2024-10-17,Phone,Electronics,38,51,824.88,Yes,ABC Suppliers,7,31345.44
2024-08-19,Cheese,Groceries,29,42,1865.29,No,Global Traders,6,54093.41
2024-04-05,Tea,Groceries,33,368,34.92,Yes,Prime Distribution,15,1152.36
2023-12-01,Butter,Groceries,73,352,785.06,No,Nova Supply,4,57309.38
2024-10-07,Hair Oil,Personal Care,48,86,1684.21,No,Smart Wholesale,11,80842.08
2024-07-19,Speaker,Electronics,56,453,668.99,Yes,Smart Wholesale,14,37463.44
2024-03-07,Lotion,Personal Care,41,262,1604.88,No,ABC Suppliers,2,65800.08
2024-10-01,Mouse,Electronics,19,118,1613.35,Yes,Prime Distribution,12,30653.65
2023-04-03,Deodorant,Personal Care,42,131,955.53,No,Prime Distribution,9,40132.26
2024-05-22,Cheese,Groceries,47,201,1131.51,No,Nova Supply,13,53180.97
2024-02-11,Camera,Electronics,33,438,1665.87,Yes,Prime Distribution,12,54973.71
2023-05-19,Sanitizer,Personal Care,46,131,424.41,Yes,ABC Suppliers,10,19522.86
2023-08-16,Milk,Groceries,34,332,627.35,Yes,Smart Wholesale,8,21329.9
2024-02-21,Soap,Personal Care,35,104,164.68,Yes,Nova Supply,10,5763.8
2023-07-09,Cheese,Groceries,33,247,1307.37,No,ABC Suppliers,6,43143.21
2023-02-24,Coffee,Groceries,52,340,1238.87,Yes,Prime Distribution,4,64421.24
2024-03-17,Keyboard,Electronics,48,263,1239.0,Yes,Prime Distribution,14,59472.0
2023-02-12,Juice,Groceries,43,328,976.71,Yes,Prime Distribution,11,41998.53
2024-01-02,Sanitizer,Personal Care,18,480,1399.13,No,Smart Wholesale,10,25184.34
2023-11-26,Hair Oil,Personal Care,40,94,1237.85,Yes,ABC Suppliers,2,49514.0
2023-09-12,Camera,Electronics,40,484,152.03,Yes,Smart Wholesale,15,6081.2
2023-07-20,Sugar,Groceries,43,43,1964.65,No,Smart Wholesale,13,84479.95
2024-05-04,Tablet,Electronics,35,93,417.11,Yes,Smart Wholesale,7,14598.85
2023-04-27,Toothpaste,Personal Care,41,316,317.51,Yes,Prime Distribution,10,13017.91
2023-11-12,Mouse,Electronics,51,195,1345.17,No,ABC Suppliers,8,68603.67
2024-06-13,Toothpaste,Personal Care,38,192,823.41,No,Global Traders,14,31289.58
2024-03-12,Soap,Personal Care,40,299,1632.03,Yes,Smart Wholesale,8,65281.2
2024-04-14,Tea,Groceries,36,220,686.2,Yes,Nova Supply,15,24703.2
2023-02-18,Soap,Personal Care,46,212,1922.2,No,ABC Suppliers,4,88421.2
2023-04-14,Conditioner,Personal Care,39,59,1495.03,No,Smart Wholesale,3,58306.17
2023-04-26,Cheese,Groceries,38,202,1781.03,No,Smart Wholesale,11,67679.14
2024-09-23,Tablet,Electronics,29,260,234.51,No,Prime Distribution,6,6800.79
2024-07-02,Toothpaste,Personal Care,68,498,1104.13,Yes,Nova Supply,14,75080.84
2024-03-28,Juice,Groceries,43,235,839.35,No,Nova Supply,10,36092.05
2024-12-03,Printer,Electronics,52,68,1330.9,Yes,ABC Suppliers,5,69206.8
2023-06-12,Milk,Groceries,61,273,888.07,Yes,Prime Distribution,8,54172.27
2024-09-04,Tablet,Electronics,30,63,88.11,Yes,Smart Wholesale,11,2643.3
2023-07-03,Deodorant,Personal Care,70,284,1217.27,No,Nova Supply,12,85208.9
2023-07-27,Bread,Groceries,49,278,65.1,No,Smart Wholesale,14,3189.9
2024-09-17,Face Wash,Personal Care,30,403,1785.15,Yes,Global Traders,14,53554.5
2024-03-21,Perfume,Personal Care,45,434,830.62,No,Smart Wholesale,9,37377.9
2023-08-27,Sanitizer,Personal Care,39,291,1154.7,No,Global Traders,13,45033.3
2024-11-25,Deodorant,Personal Care,55,464,1720.96,Yes,ABC Suppliers,6,94652.8
2024-01-09,Juice,Groceries,45,449,1067.85,Yes,Smart Wholesale,3,48053.25
2023-06-08,Butter,Groceries,55,426,377.74,Yes,Nova Supply,12,20775.7
2023-12-06,Milk,Groceries,78,368,1916.89,Yes,ABC Suppliers,10,149517.42
2024-05-25,Butter,Groceries,35,279,1159.52,No,Prime Distribution,5,40583.2
2023-07-27,Bread,Groceries,66,212,1733.3,Yes,ABC Suppliers,7,114397.8
2024-03-10,Headphones,Electronics,38,148,604.73,Yes,Nova Supply,5,22979.74
2023-12-07,Camera,Electronics,60,441,1192.76,Yes,Global Traders,11,71565.6
2023-08-23,Rice,Groceries,63,297,743.7,Yes,Nova Supply,11,46853.1
2024-05-15,Speaker,Electronics,60,115,527.06,Yes,Nova Supply,14,31623.6
2024-08-18,Tablet,Electronics,34,258,800.44,No,ABC Suppliers,9,27214.96
2023-02-03,Laptop,Electronics,31,142,1635.11,No,Smart Wholesale,3,50688.41
2024-02-07,Face Wash,Personal Care,34,288,701.55,Yes,Global Traders,12,23852.7
2023-07-21,Coffee,Groceries,63,317,1885.28,Yes,ABC Suppliers,6,118772.64
2023-02-16,Printer,Electronics,45,98,1695.91,No,Nova Supply,2,76315.95
2024-10-21,Deodorant,Personal Care,50,197,953.3,Yes,ABC Suppliers,8,47665.0
2024-11-13,Perfume,Personal Care,66,201,1725.9,Yes,Nova Supply,12,113909.4
2023-05-01,Shampoo,Personal Care,36,276,1007.33,No,ABC Suppliers,12,36263.88
2024-10-03,Monitor,Electronics,29,229,1354.46,No,ABC Suppliers,7,39279.34
2024-08-02,Perfume,Personal Care,38,333,1355.61,Yes,Nova Supply,6,51513.18
2024-09-05,Butter,Groceries,28,286,31.73,No,Global Traders,7,888.44
2023-06-26,Cheese,Groceries,46,186,233.73,Yes,Nova Supply,11,10751.58
2023-02-25,Hair Oil,Personal Care,35,268,251.37,No,Smart Wholesale,7,8797.95
2024-01-05,Soap,Personal Care,37,166,1392.37,No,ABC Suppliers,10,51517.69
2023-08-08,Conditioner,Personal Care,50,279,246.58,Yes,ABC Suppliers,11,12329.0
2023-10-20,Tablet,Electronics,42,490,657.5,Yes,ABC Suppliers,15,27615.0
2023-10-01,Printer,Electronics,34,105,818.41,Yes,Smart Wholesale,8,27825.94
2024-03-17,Laptop,Electronics,23,189,948.02,No,Nova Supply,3,21804.46
2023-12-02,Monitor,Electronics,76,323,279.51,No,Smart Wholesale,14,21242.76
2024-12-14,Toothpaste,Personal Care,71,228,1989.72,Yes,ABC Suppliers,14,141270.12
2023-09-02,Tea,Groceries,48,63,1097.05,Yes,Smart Wholesale,13,52658.4
2023-02-18,Eggs,Groceries,30,244,1451.0,No,ABC Suppliers,9,43530.0
2023-11-03,Butter,Groceries,65,375,867.61,No,Nova Supply,10,56394.65
2023-11-10,Milk,Groceries,73,450,832.16,No,Smart Wholesale,8,60747.68
2023-08-11,Eggs,Groceries,25,155,1362.0,No,Prime Distribution,10,34050.0
2024-11-22,Butter,Groceries,67,124,1990.16,No,Prime Distribution,2,133340.72
2023-08-22,Face Wash,Personal Care,50,382,32.0,Yes,Nova Supply,6,1600.0
2024-02-14,Headphones,Electronics,46,302,1579.21,No,Smart Wholesale,12,72643.66
2024-05-15,Eggs,Groceries,40,386,56.75,Yes,ABC Suppliers,12,2270.0
2023-11-15,Printer,Electronics,57,479,1654.03,No,Global Traders,15,94279.71
2024-06-27,Soap,Personal Care,54,151,363.45,No,Prime Distribution,10,19626.3
2024-07-31,Eggs,Groceries,59,424,1077.83,Yes,ABC Suppliers,14,63591.97
2024-09-20,Lotion,Personal Care,47,333,1147.56,No,Global Traders,4,53935.32
2023-08-04,Camera,Electronics,52,182,1897.23,No,Smart Wholesale,6,98655.96
2023-06-03,Toothpaste,Personal Care,50,169,1536.04,No,Prime Distribution,5,76802.0
2024-01-31,Perfume,Personal Care,38,498,1858.62,Yes,Global Traders,5,70627.56
2023-06-06,Toothpaste,Personal Care,55,493,153.03,No,ABC Suppliers,15,8416.65
2023-12-11,Tablet,Electronics,51,362,304.9,No,Global Traders,10,15549.9
2023-07-27,Soap,Personal Care,52,52,577.14,No,Global Traders,7,30011.28
2023-12-13,Perfume,Personal Care,59,291,280.87,Yes,ABC Suppliers,11,16571.33
2024-02-02,Soap,Personal Care,46,175,1938.18,No,ABC Suppliers,4,89156.28
2023-10-15,Soap,Personal Care,37,107,1075.71,Yes,Prime Distribution,5,39801.27
2024-01-06,Headphones,Electronics,32,182,1556.61,No,ABC Suppliers,15,49811.52
2023-07-29,Butter,Groceries,46,129,1673.63,Yes,Smart Wholesale,8,76986.98
2023-06-16,Sugar,Groceries,47,375,1489.11,No,ABC Suppliers,12,69988.17
2023-03-01,Eggs,Groceries,48,205,462.96,No,Smart Wholesale,6,22222.08
2024-09-06,Sugar,Groceries,42,179,784.51,Yes,Global Traders,6,32949.42
2023-04-26,Eggs,Groceries,53,335,660.82,Yes,Global Traders,10,35023.46
2023-03-04,Conditioner,Personal Care,28,391,1106.32,No,Global Traders,7,30976.96
2023-02-28,Shampoo,Personal Care,46,193,1353.52,No,Prime Distribution,13,62261.92
2024-01-26,Hair Oil,Personal Care,33,400,1326.55,Yes,Global Traders,9,43776.15
2024-11-10,Mouse,Electronics,56,201,728.23,Yes,Smart Wholesale,13,40780.88
2023-10-30,Printer,Electronics,34,217,1112.17,Yes,Smart Wholesale,13,37813.78
2024-08-27,Keyboard,Electronics,43,69,449.47,No,Prime Distribution,8,19327.21
2024-07-04,Juice,Groceries,59,248,1031.38,No,Prime Distribution,13,60851.42
2023-04-02,Soap,Personal Care,36,438,1449.49,No,Global Traders,5,52181.64
2023-07-06,Butter,Groceries,56,149,112.9,No,Nova Supply,12,6322.4
2023-02-23,Tea,Groceries,39,176,475.97,Yes,Smart Wholesale,6,18562.83
2024-12-26,Headphones,Electronics,67,163,1173.7,Yes,Nova Supply,10,78637.9
2024-06-27,Speaker,Electronics,53,198,968.35,Yes,ABC Suppliers,9,51322.55
2024-03-21,Juice,Groceries,35,337,594.37,Yes,Nova Supply,10,20802.95
2023-05-25,Soap,Personal Care,41,447,1831.48,No,Smart Wholesale,15,75090.68
2024-03-04,Conditioner,Personal Care,30,182,1347.63,No,ABC Suppliers,7,40428.9
2024-06-07,Eggs,Groceries,48,217,222.77,No,Prime Distribution,14,10692.96
2023-11-16,Rice,Groceries,59,409,1328.11,No,ABC Suppliers,9,78358.49
2024-09-29,Phone,Electronics,39,485,270.33,No,Nova Supply,13,10542.87
2024-01-30,Mouse,Electronics,59,432,1114.64,Yes,Global Traders,6,65763.76
2023-11-05,Conditioner,Personal Care,67,182,956.83,No,ABC Suppliers,5,64107.61
2024-01-07,Sugar,Groceries,46,67,1469.06,Yes,ABC Suppliers,5,67576.76
2023-08-14,Conditioner,Personal Care,20,294,1004.03,No,Prime Distribution,2,20080.6
2024-05-13,Headphones,Electronics,22,233,1793.7,No,Smart Wholesale,12,39461.4
2023-02-08,Shampoo,Personal Care,27,105,721.52,Yes,Prime Distribution,8,19481.04
2023-04-20,Monitor,Electronics,37,102,1298.48,No,Global Traders,13,48043.76
2023-12-26,Speaker,Electronics,65,481,1004.28,Yes,Nova Supply,14,65278.2
2024-11-23,Milk,Groceries,45,44,1176.04,Yes,Global Traders,8,52921.8
2023-09-13,Shampoo,Personal Care,41,128,236.86,No,Global Traders,13,9711.26
2024-02-01,Deodorant,Personal Care,39,48,1201.66,Yes,ABC Suppliers,5,46864.74
2024-06-17,Tea,Groceries,48,323,737.42,No,Nova Supply,5,35396.16
2023-01-26,Face Wash,Personal Care,30,179,1359.16,No,Prime Distribution,4,40774.8
2024-04-11,Face Wash,Personal Care,50,148,751.21,Yes,Prime Distribution,6,37560.5
2023-02-06,Deodorant,Personal Care,56,201,682.77,No,Smart Wholesale,15,38235.12
2023-08-31,Shampoo,Personal Care,27,262,935.97,No,Nova Supply,15,25271.19
2023-10-18,Butter,Groceries,46,83,1205.06,Yes,Global Traders,11,55432.76
2023-01-31,Camera,Electronics,31,198,537.26,Yes,Global Traders,2,16655.06
2023-05-05,Coffee,Groceries,35,465,964.9,No,Nova Supply,14,33771.5
2024-03-28,Coffee,Groceries,40,170,13.12,No,Smart Wholesale,12,524.8
2024-02-28,Deodorant,Personal Care,37,72,551.86,Yes,Global Traders,10,20418.82
2024-02-15,Headphones,Electronics,39,345,1006.71,No,Nova Supply,8,39261.69
2023-04-30,Lotion,Personal Care,45,232,1480.86,No,Prime Distribution,3,66638.7
2023-12-30,Coffee,Groceries,72,412,1632.61,No,Prime Distribution,8,117547.92
2023-07-04,Face Wash,Personal Care,45,51,1779.63,Yes,ABC Suppliers,12,80083.35
2023-01-19,Printer,Electronics,45,59,313.94,No,Global Traders,5,14127.3
2023-08-09,Butter,Groceries,54,342,681.97,Yes,ABC Suppliers,9,36826.38
2023-02-28,Milk,Groceries,38,464,417.24,Yes,ABC Suppliers,7,15855.12
2023-02-17,Perfume,Personal Care,42,191,295.94,No,Smart Wholesale,15,12429.48
2024-02-22,Laptop,Electronics,47,302,1550.82,Yes,Smart Wholesale,10,72888.54
2023-08-11,Phone,Electronics,37,301,260.4,No,Global Traders,13,9634.8
2024-04-16,Sugar,Groceries,42,145,1122.86,Yes,Global Traders,15,47160.12
2023-10-28,Coffee,Groceries,62,384,445.95,No,Global Traders,10,27648.9
2024-10-26,Phone,Electronics,47,265,244.49,No,Nova Supply,12,11491.03
2024-10-23,Speaker,Electronics,31,253,1051.35,No,Global Traders,5,32591.85
2023-04-18,Coffee,Groceries,38,379,1603.48,Yes,Smart Wholesale,7,60932.24
2024-02-18,Hair Oil,Personal Care,54,324,1346.06,No,Global Traders,7,72687.24
2024-09-05,Toothpaste,Personal Care,36,338,1930.18,Yes,Global Traders,7,69486.48
2023-03-02,Monitor,Electronics,32,317,803.22,Yes,Nova Supply,12,25703.04
2024-11-26,Milk,Groceries,66,385,282.83,Yes,ABC Suppliers,12,18666.78
2023-12-01,Sanitizer,Personal Care,58,233,20.53,No,Nova Supply,9,1190.74
2024-02-24,Bread,Groceries,59,192,1984.99,Yes,ABC Suppliers,14,117114.41
2024-06-01,Cheese,Groceries,52,434,1961.06,Yes,Global Traders,8,101975.12
2024-04-15,Cheese,Groceries,64,313,739.19,No,Nova Supply,2,47308.16
2023-01-13,Milk,Groceries,52,433,1554.24,No,Smart Wholesale,2,80820.48
2024-06-04,Juice,Groceries,58,169,301.48,Yes,Prime Distribution,8,17485.84
2023-10-15,Coffee,Groceries,46,215,1576.77,No,Smart Wholesale,12,72531.42
2023-08-06,Monitor,Electronics,30,100,724.93,No,ABC Suppliers,10,21747.9
2023-02-28,Butter,Groceries,36,96,154.97,Yes,Prime Distribution,2,5578.92
2024-12-04,Tea,Groceries,71,380,1440.12,Yes,Global Traders,6,102248.52
2023-05-24,Laptop,Electronics,46,107,1940.32,Yes,Global Traders,2,89254.72
2023-05-01,Sanitizer,Personal Care,44,152,1341.77,No,ABC Suppliers,3,59037.88
2023-05-21,Rice,Groceries,45,227,310.71,No,Prime Distribution,15,13981.95
2024-09-11,Coffee,Groceries,33,73,1339.4,Yes,Nova Supply,5,44200.2
2024-12-26,Perfume,Personal Care,49,181,1211.6,Yes,Prime Distribution,14,59368.4
2023-07-08,Toothpaste,Personal Care,49,332,1301.28,Yes,ABC Suppliers,11,63762.72
2023-01-17,Juice,Groceries,39,149,1180.35,Yes,Global Traders,14,46033.65
2023-02-09,Lotion,Personal Care,36,202,1970.77,No,ABC Suppliers,13,70947.72
2024-07-07,Tea,Groceries,63,437,1802.06,Yes,Nova Supply,15,113529.78
2024-03-03,Eggs,Groceries,40,420,775.08,Yes,ABC Suppliers,13,31003.2
2023-06-30,Soap,Personal Care,41,174,92.48,No,ABC Suppliers,9,3791.68
2023-05-28,Printer,Electronics,42,150,977.0,Yes,Global Traders,8,41034.0
2023-06-03,Monitor,Electronics,35,404,1487.18,No,ABC Suppliers,12,52051.3
2024-08-02,Phone,Electronics,57,102,1769.16,No,ABC Suppliers,10,100842.12
2023-08-22,Bread,Groceries,38,263,1958.01,No,Nova Supply,8,74404.38
2023-05-13,Butter,Groceries,45,302,1990.36,No,Prime Distribution,3,89566.2
2023-12-29,Mouse,Electronics,66,144,1539.38,No,Global Traders,11,101599.08
2023-07-20,Mouse,Electronics,48,352,1133.02,No,ABC Suppliers,6,54384.96
